time,open,high,low,close,MHULL,SHULL
1511049600,7661.000001,8100,7560.000001,7660.100007,NaN,NaN
1511136000,8000,8300,7670.000001,8300,NaN,NaN
1511222400,8150,8500,7800.000001,8183.765004,NaN,NaN
1511308800,8183.765004,8497.999999,8121.000009,8287.499995,NaN,NaN
1511395200,8287.5,8385.749998,8000.000001,8090.49995,NaN,NaN
1511481600,8090.499948,8450,7835.388408,8271,NaN,NaN
1511568000,8271,8698.999999,8051,8456,NaN,NaN
1511654400,8456,9698.999998,8456,9180.5,NaN,NaN
1511740800,9225.499999,9953.999999,9209.499995,9739.499998,NaN,NaN
1511827200,9657.25,10000,9600.000001,9999.99,NaN,NaN
1511913600,9927,14989.999985,8900,9700,NaN,NaN
1512000000,9999.999999,11192.999996,9010,9815.262385,NaN,NaN
1512086400,9815.262384,11000,9150,10524.999999,NaN,NaN
1512172800,10524.999999,11320.255256,10050,11124.999997,NaN,NaN
1512259200,11124.999998,11960.255255,10525,10768.018019,NaN,NaN
1512345600,10768.01802,11600,10752.027034,11462.5,NaN,NaN
1512432000,11462.5,11843,10000,11681.125501,NaN,NaN
1512518400,11681.1255,13875,11509.249999,13662.5,NaN,NaN
1512604800,13662.5,17999.999998,12001,16524.95,10828.572025104388,NaN
1512691200,16524.95,17895.499999,11848.88,16000.000001,11369.6386301733,NaN
1512777600,15646.345,16000.000001,13700.000001,15104.397541,11933.461128146333,10828.572025104388
1512864000,15104.397541,15900,12600.2,15350,12507.105482738345,11369.6386301733
1512950400,15030,17250,15015.015016,16499.900002,13100.879021254883,11933.461128146333
1513036800,16500,17350,16050,16425,13690.488028315533,12507.105482738345
1513123200,16375,16987.499993,14201,15420.990901,14230.259028545965,13100.879021254883
1513209600,15420.990901,16889.999999,15110.9909,15995,14730.800639756988,13690.488028315533
1513296000,15995,17900,15150.000002,17275.499987,15229.900746131783,14230.259028545965
1513382400,17275.499986,18990,16901,18789.25,15762.789764137236,14730.800639756988
1513468800,18686,19722,17888,18600,16307.969309106538,15229.900746131783
1513555200,18899.999999,19100,17888,18188.000001,16841.000754883426,15762.789764137236
1513641600,18188.000001,19104,14514.500003,17424.999996,17334.53587887176,16307.969309106538
1513728000,16514.500003,17424.999999,13200,15901.00002,17744.408829214928,16841.000754883426
